v,ta,td,sa,sd,E,P,¦Ç,¦µ,¦¤,k
0,2,86,0.37390487177180237,0.8966538154828068,95,5,0.97,A,0.01276315789473684,40.0
1,9,95,0.3772506666451466,0.8309586082617124,70,3,0.99,B,0.010607142857142857,42.0
2,9,93,0.29250768069722294,0.8745991297925286,82,3,0.98,C,0.00896341463414634,64.0
3,5,91,0.3506715363751258,0.8719621652771714,86,3,0.97,A,0.008459302325581395,61.0
4,8,95,0.3921980860912572,0.870832729874929,87,5,0.97,B,0.013936781609195401,34.0
5,8,92,0.35612898043596025,0.8854047030141929,77,5,0.96,C,0.015584415584415584,33.0
6,9,94,0.2669521529614247,0.8097799533046594,95,3,0.95,A,0.007499999999999999,72.0
7,1,92,0.3452858842272917,0.856527217962327,77,6,0.97,B,0.018896103896103897,27.0
8,3,94,0.3422837104173088,0.8101694592043908,88,5,0.98,C,0.013920454545454547,33.0
9,1,95,0.3088944188488091,0.8708350183695281,94,5,0.98,A,0.013031914893617023,43.0
10,8,87,0.2591526774210283,0.8860538488563228,92,3,0.97,B,0.007907608695652175,79.0
11,1,93,0.3517390688392904,0.8354425859323494,88,6,0.97,C,0.01653409090909091,29.0
12,9,87,0.3744253477176918,0.8317427644136944,94,6,0.95,A,0.015159574468085104,30.0
13,6,92,0.26528567923094526,0.849695172310893,77,3,0.99,B,0.009642857142857142,60.0
14,7,91,0.3503873636341268,0.8589284399212949,70,5,0.98,C,0.0175,29.0
15,5,95,0.39546067501433485,0.8187372885047774,89,3,0.98,A,0.008258426966292134,51.0
16,6,94,0.35054988108111024,0.8761486267171118,89,4,0.95,B,0.010674157303370785,49.0
17,1,86,0.37436819340403216,0.8563561087745156,83,6,0.97,C,0.017530120481927713,27.0
18,8,91,0.2516354427942563,0.8796525825125224,87,5,1.0,A,0.014367816091954023,43.0
19,6,94,0.28251363339062135,0.8,85,5,0.99,B,0.014558823529411765,35.0
20,4,88,0.3281545911161995,0.8387502609482358,95,3,0.95,C,0.007499999999999999,68.0
21,9,88,0.3484520418868563,0.8223263607524626,75,4,0.95,A,0.012666666666666666,37.0
22,7,90,0.2779075834135326,0.8980594826218623,71,3,0.96,B,0.010140845070422535,61.0
23,2,92,0.34027503220899974,0.8531415019377095,82,6,0.96,C,0.017560975609756096,29.0
24,7,86,0.33807235221459914,0.8519609162333687,90,6,0.99,A,0.016499999999999997,31.0
25,1,86,0.30961458107910816,0.821097633261596,82,5,0.96,B,0.014634146341463414,34.0
26,9,91,0.34769739538887867,0.8994283399839804,81,6,0.95,C,0.01759259259259259,31.0
27,1,93,0.2728213676085296,0.8915162351039835,89,5,0.97,A,0.013623595505617977,45.0
28,4,94,0.3620678655155345,0.8704439719363004,89,6,0.95,B,0.01601123595505618,31.0
29,7,90,0.29864399720775175,0.8578378790018834,92,6,0.99,C,0.016141304347826086,34.0
30,5,94,0.26473576235699775,0.8985608293364955,83,6,0.97,A,0.017530120481927713,36.0
31,9,93,0.3487864144414185,0.8543398604901132,78,4,0.96,B,0.012307692307692308,41.0
32,3,93,0.2562008822055005,0.8937085708936626,93,4,0.98,C,0.010537634408602151,60.0
33,2,91,0.2595949920363331,0.8594637367121118,79,4,0.99,A,0.012531645569620253,47.0
34,5,92,0.28344048037181707,0.8112790080191251,86,4,0.98,B,0.011395348837209301,46.0
35,9,89,0.3854854413645511,0.804934757545339,93,5,0.97,C,0.01303763440860215,32.0
36,2,90,0.355322329797348,0.8044440919443501,94,4,0.97,A,0.010319148936170213,43.0
37,5,93,0.375904620093241,0.8773600036016831,93,6,0.99,B,0.015967741935483868,31.0
38,3,95,0.3245687879402153,0.8479019338690108,90,6,0.98,C,0.01633333333333333,32.0
39,9,95,0.36282966513022036,0.8931564409653521,72,5,0.95,A,0.016493055555555556,32.0
40,8,90,0.34268271237868936,0.8193501033580174,93,4,0.99,B,0.01064516129032258,44.0
41,1,88,0.3945445790187515,0.8406400764774241,93,6,0.96,C,0.015483870967741935,28.0
42,7,92,0.3745416077286,0.8322902639482984,72,5,0.98,A,0.01701388888888889,26.0
43,8,89,0.30434340171768576,0.8428106338323892,84,3,0.97,B,0.008660714285714285,62.0
44,8,92,0.3200665007149177,0.8231928554481941,77,6,0.95,C,0.018506493506493506,27.0
