v,ta,td,sa,sd,E,P,η,Φ,Δ,k
v1,27,72,0.258549261,0.879634043,49,4,0.96,A,0.019591837,31
v2,28,69,0.148059774,0.965750816,34,4,0.99,B,0.029117647,28
v3,4,94,0.283185072,0.91786503,31,3,0.94,C,0.022741935,27
v4,15,71,0.032787042,0.852409496,45,5,0.91,A,0.025277778,32
v5,0,73,0.221779413,0.966201543,40,3,1,B,0.01875,39
v6,29,71,0.057781836,0.994041618,45,5,0.99,C,0.0275,34
v7,29,89,0.064653701,0.972118309,39,5,0.95,A,0.030448718,29
v8,8,89,0.133146081,0.905960497,51,4,0.95,B,0.018627451,41
v9,30,75,0.224980384,0.93279775,35,3,0.98,C,0.021,33
v10,23,87,0.063815051,0.854813678,54,4,0.95,A,0.017592593,44
v11,9,79,0.218348508,0.869257983,41,4,0.95,B,0.023170732,28
v12,6,79,0.141410375,0.879484509,49,3,0.91,C,0.013928571,52
v13,3,94,0.125286181,0.960809577,42,3,0.94,A,0.016785714,49
v14,18,89,0.240609209,0.85886019,44,5,0.97,B,0.027556818,22
v15,10,91,0.039739537,0.922744459,50,6,0.93,C,0.0279,31
v16,29,79,0.173789202,0.878602688,43,3,0.9,A,0.015697674,44
v17,1,61,0.14044529,0.947561104,46,5,0.98,B,0.026630435,30
v18,9,61,0.216743044,0.862603805,55,5,0.99,C,0.0225,28
v19,11,71,0.052149173,0.986807979,37,4,0.93,A,0.025135135,37
v20,30,94,0.267196715,0.962461583,55,4,0.94,B,0.017090909,40
v21,6,91,0.191702952,0.901623947,35,3,0.95,C,0.020357143,34
v22,10,75,0.193510537,0.913742617,39,5,0.94,A,0.030128205,23
v23,3,86,0.231006833,0.890238133,48,3,0.91,B,0.01421875,46
v24,21,92,0.291102967,0.932674524,51,3,0.93,C,0.013676471,46
v25,6,65,0.033717564,0.919143039,44,3,0.95,A,0.016193182,54
v26,13,71,0.298064899,0.953140621,38,6,0.92,B,0.036315789,18
v27,10,76,0.137716218,0.977517723,40,6,0.94,C,0.03525,23
v28,19,78,0.112451438,0.871906562,54,3,0.96,A,0.013333333,56
v29,20,76,0.292564789,0.999232557,49,4,0.94,B,0.019183673,36
v30,5,68,0.264431405,0.87081617,42,6,0.96,C,0.034285714,17
v31,8,87,0.012729415,0.850730431,46,6,0.96,A,0.031304348,26
v32,16,61,0.185539669,0.8633691,54,5,0.95,B,0.021990741,30
v33,26,78,0.278748297,0.924267069,54,3,0.97,C,0.013472222,47
v34,3,70,0.266831513,0.985439296,55,5,0.91,A,0.020681818,34
v35,21,94,0.07844497,0.935471181,50,5,0.96,B,0.024,35
v36,13,87,0.273341652,0.943349632,49,3,0.92,C,0.014081633,47
v37,0,60,0.276291998,0.974551086,54,5,0.99,A,0.022916667,30
v38,25,72,0.163515082,0.929270156,35,6,0.94,B,0.040285714,19
v39,26,86,0.103817006,0.881772083,43,6,0.98,C,0.034186047,22
v40,0,74,0.002894143,0.88388526,31,6,0.96,A,0.046451613,18
v41,6,94,0.290427008,0.943206854,54,3,0.98,B,0.013611111,47
v42,13,63,0.159756174,0.961491515,41,6,0.95,C,0.034756098,23
v43,1,94,0.118982933,0.982579764,50,3,0.91,A,0.01365,63
v44,17,80,0.020308683,0.934633334,36,4,0.92,B,0.025555556,35
v45,5,80,0.001426458,0.896632405,54,6,0.94,C,0.026111111,34
v46,28,82,0.032870209,0.89858605,33,3,0.94,A,0.021363636,40
v47,5,88,0.020040605,0.967415293,55,4,0.96,B,0.017454545,54
v48,1,66,0.193441641,0.985130211,34,4,0.91,C,0.026764706,29
v49,23,73,0.296817426,0.952911844,52,4,0.97,A,0.018653846,35
v50,7,87,0.195992907,0.908794342,51,3,0.92,B,0.013529412,52
v51,10,65,0.162209345,0.983467789,37,5,0.91,C,0.030743243,26
v52,30,82,0.205756336,0.932705659,41,3,0.93,A,0.017012195,42
v53,27,65,0.081825702,0.923559746,45,5,0.91,B,0.025277778,33
v54,7,95,0.095449363,0.984635259,36,6,0.94,C,0.039166667,22
v55,6,64,0.283636838,0.98843646,44,4,0.9,A,0.020454545,34
v56,25,82,0.215037573,0.89974399,51,3,0.98,B,0.014411765,47
v57,5,85,0.113510589,0.868383806,44,5,1,C,0.028409091,26
v58,0,73,0.097693761,0.916432096,36,5,0.95,A,0.032986111,24
v59,21,75,0.096632091,0.94775913,38,3,0.92,B,0.018157895,46
v60,14,69,0.057510799,0.986204894,55,6,0.94,C,0.025636364,36
v61,16,90,0.010505497,0.947084998,43,3,0.94,A,0.016395349,57
v62,8,91,0.012327282,0.944460063,41,3,0.92,B,0.016829268,55
v63,10,87,0.129163701,0.874931218,35,6,0.99,C,0.042428571,17
v64,29,93,0.150586955,0.868983346,35,6,0.95,A,0.040714286,17
v65,3,80,0.16927668,0.965823063,50,5,0.9,B,0.0225,35
v66,11,78,0.218189849,0.947938833,46,6,0.96,C,0.031304348,23
v67,17,91,0.017873269,0.902577465,42,3,0.97,A,0.017321429,51
v68,3,78,0.263306824,0.929760571,38,5,0.95,B,0.03125,21
v69,2,72,0.070668203,0.888363938,30,5,0.92,C,0.038333333,21
v70,2,83,0.234500461,0.945963972,40,6,0.93,A,0.034875,20
v71,3,75,0.219572603,0.854670401,46,3,0.98,B,0.015978261,39
v72,27,76,0.193175135,0.875212688,42,3,0.9,C,0.016071429,42
v73,3,82,0.199597734,0.87912055,48,5,0.91,A,0.023697917,28
v74,8,80,0.221517339,0.868532359,31,5,0.92,B,0.037096774,17
v75,5,86,0.15209727,0.941067097,36,5,0.95,C,0.032986111,23
v76,26,95,0.107460405,0.871766705,30,5,0.97,A,0.040416667,18
v77,7,91,0.087540722,0.933976268,31,3,0.91,B,0.022016129,38
v78,28,94,0.14203662,0.921507353,49,6,0.97,C,0.029693878,26
v79,1,94,0.258656468,0.860993168,41,6,0.94,A,0.034390244,17
v80,7,91,0.040097467,0.943300902,46,4,0.93,B,0.020217391,44
v81,16,66,0.261336503,0.937809129,33,5,0.99,C,0.0375,18
v82,11,89,0.080182604,0.97337329,35,5,0.94,A,0.033571429,26
v83,16,92,0.087793441,0.852922067,47,5,0.95,B,0.025265957,30
v84,0,81,0.262367759,0.952224525,32,3,0.98,C,0.02296875,30
v85,15,60,0.229872512,0.987029066,32,6,0.95,A,0.04453125,17
v86,28,84,0.297264764,0.927730157,30,5,0.93,B,0.03875,16
v87,5,95,0.003390141,0.898090658,40,6,0.95,C,0.035625,25
v88,0,86,0.149010397,0.923910127,34,6,0.94,A,0.041470588,18
v89,18,82,0.238797387,0.941312182,33,3,0.98,B,0.022272727,31
v90,0,90,0.047314734,0.935314148,45,5,0.91,C,0.025277778,35
v91,8,83,0.046831971,0.971305737,41,5,0.93,A,0.028353659,32
v92,4,88,0.112282387,0.944266998,44,3,0.94,B,0.016022727,51
v93,8,84,0.198539088,0.97671562,49,6,0.93,C,0.028469388,27
v94,22,72,0.25676329,0.984213603,52,6,1,A,0.028846154,25
v95,3,76,0.152164645,0.866027069,37,3,1,B,0.02027027,35
v96,7,68,0.264227487,0.861181368,31,6,0.92,C,0.044516129,13
v97,3,67,0.290680247,0.998528824,47,4,1,A,0.021276596,33
v98,10,74,0.121189786,0.995987088,37,3,0.99,B,0.020067568,43
