v,ta,td,sa,sd,E,P,¦Ç,¦µ,¦¤,k
0,9,87,0.28379197176112003,0.8918013863603828,85,4,0.99,C,0.011647058823529411,52.0
1,4,95,0.32742834795257053,0.831063819188528,75,4,0.97,C,0.012933333333333333,38.0
2,2,88,0.3073025745458947,0.8008621013212012,89,3,0.96,A,0.008089887640449439,61.0
3,9,91,0.27186433821969835,0.8850989135474051,70,6,0.96,B,0.02057142857142857,29.0
4,3,92,0.26322885406413915,0.8671784520822461,83,3,0.96,A,0.008674698795180723,69.0
5,1,89,0.30254955810565604,0.8449362555188672,87,3,0.98,B,0.008448275862068965,64.0
6,9,93,0.3151507056070713,0.8803334749173951,74,5,0.95,A,0.016047297297297296,35.0
7,5,87,0.3547590767982562,0.898875117545417,70,4,0.95,B,0.013571428571428571,40.0
8,2,88,0.33516034719313154,0.8977725142150521,92,6,0.95,B,0.015489130434782606,36.0
9,9,94,0.3848525451419511,0.8778925200903097,93,4,0.99,A,0.01064516129032258,46.0
10,4,93,0.3751252485300569,0.8260487943562499,76,4,0.99,A,0.013026315789473684,34.0
11,3,93,0.25605949797514765,0.8104506649243436,92,4,0.97,B,0.010543478260869566,52.0
12,9,95,0.27798811654745914,0.8988719211222022,78,5,0.97,B,0.015544871794871793,39.0
13,2,86,0.3049357594675125,0.8262239304588634,91,6,0.96,A,0.015824175824175824,32.0
14,4,90,0.309390293396321,0.844993832680159,78,3,0.98,B,0.009423076923076923,56.0
15,5,86,0.2804293701659019,0.8714659584249931,80,4,0.98,C,0.01225,48.0
16,2,87,0.2531377298518089,0.8015622655202576,90,3,0.97,B,0.008083333333333333,67.0
17,4,89,0.3679149827909033,0.8411597458369338,70,4,0.95,A,0.013571428571428571,34.0
18,2,86,0.3648935486030373,0.8323008626894952,92,4,0.98,C,0.010652173913043479,43.0
19,8,89,0.3703498205240968,0.8551213394100468,93,6,0.95,B,0.015322580645161288,31.0
20,7,91,0.36041468105623536,0.8441598460286126,80,4,0.98,C,0.01225,39.0
21,4,86,0.2597782946783257,0.8004475379043298,88,6,0.97,A,0.01653409090909091,32.0
22,6,89,0.3189618349746818,0.8345784416940051,94,3,0.96,C,0.007659574468085106,67.0
23,4,88,0.2930566881561173,0.8218383094312924,85,4,0.96,B,0.011294117647058823,46.0
24,5,92,0.2786022846500567,0.8620705281540849,85,5,0.95,B,0.013970588235294118,41.0
25,7,91,0.2513265708379411,0.8594652988405249,86,6,0.99,B,0.017267441860465114,35.0
26,3,95,0.3643214010002506,0.8743748095888261,85,3,0.99,B,0.008735294117647058,58.0
27,4,88,0.35997580620786895,0.8290011938507997,83,5,0.96,C,0.014457831325301203,32.0
28,5,95,0.31713288948189333,0.8130477854201306,85,6,0.95,B,0.01676470588235294,29.0
29,7,93,0.31790057234190583,0.8325553676154966,84,3,0.95,C,0.008482142857142856,60.0
30,2,89,0.3922864077873832,0.841385185951678,71,6,0.99,C,0.020915492957746477,21.0
31,9,92,0.30255106945310284,0.8174280195915504,87,6,0.96,C,0.016551724137931035,31.0
32,7,94,0.2882482419092084,0.8963449573631131,79,3,0.95,A,0.009018987341772151,67.0
33,1,89,0.30718237116177427,0.8730009999022483,92,3,0.97,B,0.007907608695652175,71.0
34,8,91,0.26925794654354374,0.8533793142397508,92,3,0.99,C,0.008070652173913043,72.0
35,4,86,0.3844390919543695,0.8859107305703404,70,4,0.96,A,0.013714285714285714,36.0
36,9,90,0.26939375412121036,0.8188988628927149,84,5,0.97,A,0.014434523809523809,38.0
37,5,86,0.3316119889040157,0.8661638769704542,92,4,0.97,B,0.010543478260869566,50.0
38,2,90,0.25840548691960336,0.846650055048265,79,5,0.95,B,0.015031645569620253,39.0
39,3,93,0.34693271222661465,0.8009202575753807,79,4,0.95,A,0.012025316455696202,37.0
40,5,93,0.25779536218838833,0.8979335765904122,95,6,0.96,A,0.015157894736842105,42.0
41,2,90,0.38693227373516154,0.8654510902962993,76,6,0.95,B,0.01875,25.0
42,2,94,0.3341780300483647,0.8086007684710663,77,3,0.98,C,0.009545454545454544,49.0
43,8,94,0.3262268721496401,0.8968438973314223,79,6,0.98,C,0.01860759493670886,30.0
44,4,90,0.3369075602666035,0.8332646171261279,84,3,1.0,B,0.008928571428571428,55.0
45,4,86,0.3328128881874533,0.8626891471674354,93,4,0.97,B,0.01043010752688172,50.0
46,5,90,0.28800475328264447,0.8181121414707311,74,4,0.99,C,0.013378378378378379,39.0
47,9,86,0.355236556447123,0.8576067958305099,89,6,0.99,A,0.016685393258426964,30.0
48,8,91,0.2907395245786689,0.8738240013088919,77,4,0.99,C,0.012857142857142857,45.0
49,9,91,0.3086419020770319,0.8337038307999887,72,6,0.97,B,0.020208333333333335,25.0
50,1,92,0.32067360475956214,0.8086484662841018,86,6,0.95,B,0.016569767441860464,29.0
51,4,88,0.255395623618609,0.8207521589244334,75,4,0.95,C,0.012666666666666666,44.0
52,1,89,0.35811678881484854,0.8906698064303831,87,6,0.97,B,0.016724137931034482,31.0
53,3,87,0.38847466998882973,0.8527914713634344,80,3,0.96,B,0.009,51.0
54,2,90,0.28471224519628147,0.8348888821800418,79,4,0.96,A,0.012151898734177215,45.0
55,7,86,0.3102512561131143,0.8617394211855331,78,4,0.96,C,0.012307692307692308,44.0
56,1,86,0.32695855272892327,0.8752059942533368,72,3,0.98,B,0.010208333333333333,53.0
57,3,93,0.3662926490719304,0.8078096483431716,80,4,0.95,B,0.011875,37.0
58,6,94,0.3798657487702708,0.852209346676243,86,4,0.99,A,0.011511627906976744,41.0
59,7,89,0.37887536386490867,0.8119292512534234,81,6,0.95,A,0.01759259259259259,24.0
60,2,92,0.3044655381674876,0.8349380154749382,92,6,0.98,A,0.015978260869565216,33.0
61,9,88,0.25659831557345436,0.8863686816268799,82,5,0.99,B,0.015091463414634148,41.0
62,3,91,0.32284028397900927,0.8960054925290705,93,3,0.98,A,0.007903225806451612,72.0
63,7,86,0.283531229075617,0.8443333707442872,73,4,0.95,B,0.013013698630136985,43.0
64,9,93,0.3303366058520566,0.8491107624625991,80,4,0.95,B,0.011875,43.0
65,1,87,0.31982012598087695,0.8834339362771417,78,4,0.96,B,0.012307692307692308,45.0
66,1,94,0.28479302735854056,0.8271324842724979,95,4,0.97,B,0.010210526315789474,53.0
67,6,89,0.3801077622348563,0.8038405671914346,80,5,0.98,A,0.015312500000000001,27.0
68,4,88,0.3787842826870596,0.8822290166706303,74,5,0.99,A,0.016722972972972972,30.0
69,7,90,0.2530697980247049,0.8637211027189075,93,4,0.95,B,0.010215053763440859,59.0
70,7,89,0.31740669610169303,0.8933742979619589,83,5,0.99,C,0.014909638554216868,38.0
71,2,88,0.2863874067818581,0.8308585662213005,82,6,0.96,C,0.017560975609756096,31.0
72,7,95,0.27668380125595887,0.8613245774020805,85,4,0.99,A,0.011647058823529411,50.0
73,9,93,0.2838883591147707,0.8559396122812103,83,5,0.98,A,0.014759036144578314,38.0
74,6,90,0.3173988197864677,0.8008478565499403,72,5,0.95,A,0.016493055555555556,29.0
75,4,95,0.27143896172552207,0.8546690366582764,93,5,0.98,C,0.013172043010752688,44.0
76,5,95,0.28590082867668914,0.8790711416704032,76,3,0.96,A,0.009473684210526315,62.0
77,1,94,0.28132412475400526,0.8243085721315446,88,4,0.97,C,0.011022727272727273,49.0
78,7,86,0.35893584572403014,0.8196128504308413,87,4,0.96,C,0.011034482758620689,41.0
79,1,92,0.38862663384485907,0.8034425595173826,93,6,0.96,C,0.015483870967741935,26.0
80,9,89,0.35415406480821854,0.8662476049702549,86,6,0.96,A,0.016744186046511626,30.0
81,8,95,0.38116208264756035,0.8047133713815965,92,5,0.99,C,0.01345108695652174,31.0
82,7,92,0.3156732784489395,0.8829001298675601,89,4,0.98,C,0.01101123595505618,51.0
83,7,90,0.3895753709299589,0.8796473796967087,78,6,0.98,B,0.018846153846153846,26.0
84,6,91,0.3429847587280544,0.8804585474445311,90,3,0.95,C,0.007916666666666666,67.0
85,2,89,0.3678911354909273,0.8969029836282356,78,6,0.95,C,0.018269230769230767,28.0
86,4,90,0.3550363395461278,0.8638589523215431,84,4,0.97,B,0.011547619047619048,44.0
87,1,86,0.3736368773160345,0.8138805179282315,85,4,0.99,C,0.011647058823529411,37.0
88,5,87,0.34883956376496705,0.8099388917918126,89,6,0.97,C,0.016348314606741573,28.0
89,1,92,0.2582595684780352,0.8378553574987718,86,3,0.98,A,0.008546511627906976,67.0
90,6,93,0.28227680347572204,0.8241451312385797,84,5,0.98,B,0.014583333333333334,37.0
91,6,93,0.3796548675574203,0.8454116777700265,83,4,0.96,C,0.011566265060240964,40.0
92,4,90,0.35243007550981387,0.8002699619164055,89,3,0.96,A,0.008089887640449439,55.0
93,6,88,0.37163999136578585,0.8236127868169186,76,5,0.98,B,0.01611842105263158,28.0
94,8,90,0.3848378181615453,0.8740423932868957,73,5,0.95,A,0.016267123287671232,30.0
95,6,86,0.2611366073855533,0.8909449522160807,72,3,0.96,A,0.01,62.0
96,4,87,0.2770275207121852,0.8468819051394351,80,6,0.98,A,0.018375,31.0
97,3,91,0.2825835600638841,0.8137282158947171,80,6,0.95,A,0.0178125,29.0
98,5,95,0.28417607081574403,0.8749601263669459,90,5,0.99,B,0.01375,42.0
99,5,95,0.3672904068741241,0.8807939699602956,72,3,0.95,A,0.009895833333333333,51.0
100,8,86,0.290367939702964,0.8295996244682037,87,4,0.99,A,0.011379310344827587,47.0
101,5,95,0.28573082574331576,0.8029812731575529,76,4,0.95,C,0.012499999999999999,41.0
102,7,87,0.3426235850191048,0.8134468918972585,85,4,0.95,C,0.011176470588235293,42.0
103,4,88,0.31534528484948315,0.8983396043870036,71,6,0.98,B,0.020704225352112676,28.0
104,3,95,0.281070316908037,0.8320268119115295,74,5,0.97,B,0.016385135135135134,33.0
105,1,92,0.34015944032250295,0.8293932454963209,94,4,0.95,C,0.010106382978723403,48.0
106,4,86,0.2940013896150985,0.8835874481945655,85,5,0.96,A,0.014117647058823528,41.0
107,3,93,0.27883560382461187,0.8117805033415688,93,6,0.99,A,0.015967741935483868,33.0
108,7,87,0.2554947929598062,0.8207703950698392,74,3,0.95,B,0.009628378378378377,58.0
109,3,92,0.3734145168169327,0.8623736407992699,89,4,0.95,A,0.010674157303370785,45.0
110,5,93,0.3099527925726679,0.8159643220160617,82,5,0.99,C,0.015091463414634148,33.0
111,7,88,0.33466061231701744,0.8888593886351812,93,4,0.99,B,0.01064516129032258,52.0
112,3,86,0.3375339173632112,0.8828020750570069,88,6,0.97,A,0.01653409090909091,32.0
113,7,89,0.3070223393890122,0.8901104744253459,85,6,0.97,C,0.01711764705882353,34.0
114,3,89,0.35689122940413087,0.8443492546646963,71,6,0.98,A,0.020704225352112676,23.0
115,3,93,0.36094376087579405,0.8327208042475668,71,5,0.96,A,0.016901408450704224,27.0
116,1,86,0.32039009317424305,0.8571551871444438,75,4,0.96,B,0.012799999999999999,41.0
117,8,92,0.38346477544548696,0.8880560437476696,82,4,0.97,B,0.011829268292682927,42.0
118,6,90,0.25096306405674135,0.816154365181852,93,5,0.96,C,0.012903225806451613,43.0
119,5,89,0.27005414180679427,0.8763816058743503,87,6,0.96,B,0.016551724137931035,36.0
120,7,89,0.28942175440808043,0.8479418889800633,71,3,0.98,B,0.010352112676056338,53.0
121,7,88,0.2723380638410448,0.8986931190684688,74,4,0.99,A,0.013378378378378379,46.0
122,1,90,0.2667655580531872,0.8767717145158467,93,6,0.97,A,0.015645161290322583,38.0
123,4,89,0.3603146565456299,0.8073842334416279,95,3,0.99,B,0.00781578947368421,57.0
124,5,88,0.2726952819964065,0.8315944585709188,88,5,0.95,B,0.013494318181818182,41.0
125,8,92,0.3555084901573484,0.8,91,4,0.98,A,0.010769230769230769,41.0
126,6,94,0.28331776623266164,0.8105390765289978,89,5,0.98,C,0.013764044943820226,38.0
127,3,86,0.38271834391563614,0.8542572976586188,78,5,0.99,B,0.015865384615384615,29.0
128,7,95,0.37225369550775916,0.8941024435733903,73,4,0.95,C,0.013013698630136985,40.0
129,6,95,0.393582211501849,0.899789023480784,89,5,0.97,C,0.013623595505617977,37.0
130,6,93,0.39187346918870036,0.8219126129284948,80,3,0.97,A,0.009093750000000001,47.0
131,2,90,0.3475171067687376,0.85787459010594,89,4,0.99,C,0.011123595505617978,45.0
132,7,91,0.26475383452419493,0.8722631008077983,91,3,0.98,B,0.008076923076923077,75.0
133,5,88,0.25,0.819895251450855,87,5,0.95,C,0.013649425287356323,41.0
134,9,93,0.31254204238037886,0.8966544569872206,81,4,0.99,C,0.012222222222222223,47.0
135,5,89,0.27071549270054396,0.8450954170297197,70,4,0.96,B,0.013714285714285714,41.0
136,9,90,0.39951516434772455,0.8873970747480411,72,6,0.97,B,0.020208333333333335,24.0
137,3,89,0.35983984985434364,0.8807825100484304,93,3,0.96,A,0.007741935483870968,67.0
138,1,91,0.2555549397509813,0.8369188450542278,79,3,0.98,C,0.00930379746835443,62.0
139,2,89,0.2892005546464193,0.8805792366599274,76,6,0.97,A,0.019144736842105263,30.0
140,7,87,0.37600939558146756,0.8692048124657961,70,6,0.95,A,0.020357142857142855,24.0
141,9,93,0.30752625664428646,0.8231305858187392,80,5,0.98,A,0.015312500000000001,33.0
142,2,87,0.37478664887398044,0.8945785814651962,72,3,0.98,A,0.010208333333333333,50.0
143,8,86,0.33569862366709435,0.8594660236848941,84,3,0.97,C,0.008660714285714285,60.0
144,7,88,0.31357869206989913,0.800595380358054,81,3,0.95,A,0.008796296296296295,55.0
145,4,91,0.34561731584300526,0.8952429538738133,85,5,0.99,C,0.014558823529411765,37.0
146,5,91,0.3395205375743169,0.8801973302301164,93,3,0.95,C,0.007661290322580644,70.0
147,5,94,0.33516208779138346,0.83411139817219,92,5,0.96,C,0.013043478260869565,38.0
148,6,89,0.32007183344585477,0.8883755679667243,70,4,0.96,A,0.013714285714285714,41.0
149,2,91,0.26596112362871155,0.8153705691844292,88,4,0.96,C,0.010909090909090908,50.0
150,7,89,0.36848092933543863,0.8139137050102803,87,6,0.98,C,0.01689655172413793,26.0
151,2,88,0.2913773189195609,0.8559491883111374,81,6,0.99,B,0.018333333333333333,30.0
152,8,95,0.2787684879063686,0.8286703279062572,78,4,0.96,C,0.012307692307692308,44.0
153,3,89,0.31076911085668646,0.8356201651799081,72,6,0.95,B,0.019791666666666666,26.0
154,2,90,0.3372648873180059,0.8849703096511431,75,6,0.98,C,0.0196,27.0
155,7,89,0.34700489351917274,0.8481386515052427,72,3,0.98,A,0.010208333333333333,49.0
156,7,94,0.3855760453278486,0.8539428332818146,76,3,0.99,C,0.009769736842105262,47.0
157,5,92,0.28786441318945366,0.8628226775441316,89,4,0.98,A,0.01101123595505618,52.0
158,9,92,0.2752191004597972,0.8041977015271002,74,4,0.99,B,0.013378378378378379,39.0
159,9,92,0.32455302522066465,0.8538639811684141,76,5,0.98,B,0.01611842105263158,32.0
160,5,90,0.28852081848987826,0.8792484735877837,78,4,0.95,B,0.01217948717948718,48.0
161,1,92,0.3235606430266674,0.8975453416000551,85,6,0.96,B,0.016941176470588234,33.0
162,7,87,0.3958852806445421,0.8289300004600413,85,6,0.97,A,0.01711764705882353,25.0
163,9,92,0.30329150169648994,0.8384834935447703,71,6,0.97,A,0.020492957746478874,26.0
164,5,93,0.355542978064783,0.8151675931855676,71,6,0.95,A,0.020070422535211265,22.0
165,1,87,0.35100500849939076,0.8609737286723586,87,3,0.98,C,0.008448275862068965,60.0
166,5,92,0.3800436901048507,0.8141489299895275,88,5,0.95,C,0.013494318181818182,32.0
167,5,90,0.3717362566397058,0.8122503179158146,76,4,0.98,A,0.012894736842105263,34.0
168,4,88,0.3398765107393742,0.8852415449745623,92,6,0.98,B,0.015978260869565216,34.0
169,5,94,0.32324054304031735,0.8391481731087188,83,3,0.98,A,0.008855421686746988,58.0
170,1,91,0.3050989385081983,0.8944856101565076,86,4,0.96,B,0.011162790697674419,52.0
171,1,86,0.30048488077838387,0.8506289994247597,74,5,0.98,A,0.016554054054054055,33.0
172,4,90,0.3200606513114899,0.8012611956634451,87,5,0.99,B,0.014224137931034483,33.0
173,4,93,0.35004283582609275,0.8665150798331918,78,4,0.99,B,0.012692307692307692,40.0
174,9,92,0.3259582682484626,0.8173876292810418,85,6,0.96,A,0.016941176470588234,29.0
175,3,87,0.29078104090884854,0.8704958375688203,76,3,0.98,B,0.009671052631578947,59.0
176,4,95,0.33756387540948096,0.8613882397600504,74,5,0.96,C,0.016216216216216217,32.0
177,2,93,0.3381659037618792,0.8174593112791787,84,3,0.96,A,0.008571428571428572,55.0
178,8,86,0.33544843237950955,0.8759818777721926,93,3,0.96,B,0.007741935483870968,69.0
179,4,94,0.32460124480841945,0.8739325030481329,95,4,0.98,A,0.01031578947368421,53.0
180,1,91,0.2707304452953485,0.8035568992920059,82,4,0.99,B,0.012073170731707317,44.0
181,5,89,0.3521254321680832,0.8034134943171659,91,4,0.99,C,0.01087912087912088,41.0
182,9,90,0.31099167381470216,0.8223756422279909,85,5,0.97,C,0.01426470588235294,35.0
183,4,95,0.34472537596685676,0.8520940909467887,77,5,0.98,B,0.01590909090909091,31.0
184,4,86,0.3989178080478565,0.8679598261273072,89,6,0.99,C,0.016685393258426964,28.0
185,9,93,0.36945485671671374,0.8947918802684771,95,4,0.98,C,0.01031578947368421,50.0
186,1,92,0.396232610680863,0.8068191659557628,83,5,0.96,B,0.014457831325301203,28.0
187,1,86,0.38271074044582076,0.8945071890192321,72,3,0.99,C,0.010312499999999999,49.0
188,9,94,0.3851174568914536,0.8265031076271434,88,4,0.95,C,0.010795454545454546,40.0
189,6,87,0.3202361363060854,0.8866710324426904,85,6,0.95,A,0.01676470588235294,33.0
190,5,90,0.31595406322062247,0.8718684373257565,76,3,0.95,B,0.009375,59.0
191,7,89,0.34913334325091977,0.8382338220751674,83,6,0.98,C,0.017710843373493976,27.0
192,4,90,0.30559193185325517,0.8578637282213761,75,3,0.96,C,0.0096,57.0
193,8,89,0.3939389534853811,0.8851388779567548,95,4,0.97,A,0.010210526315789474,48.0
